id,Per. Ingresso,Curso,Forma de Ingresso,Sigla Cota,Escola Pública?,Coeficiente,Sexo,Idade,Situação Atual do Aluno,Período do Aluno,Em que localidade da cidade seu domicílio se encontra?,Necessita de trabalhar durante o curso?,Como pretende se locomover até a UTFPR durante o seu curso?,Motivo que o levou a escolher a UTFPR?,Principal motivo da escolha do curso:,Aprovado por Nota/Frequência,Reprovado por Nota/Frequência,Crédito Consignado,Reprovado por Nota,Aprovado em Exame de Suficiência,Aprovado por Nota,Reprovado por Frequência,Reprovado em Exame de Suficência,Reprovado,Aprovado por Frequência
9sqb9t,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Cotista,Escola Pública,0.5537,M,38,Formado,6,Bairro na periferia da cidade.,"Sim, desde o início, em período integral.",De Moto.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.,40,14,1,18,0,1,0,0,0,0
b9wdwn,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Não cotista,Escola Particular,0.5489,M,28,Formado,6,Bairro na região central da cidade.,Não sabe.,De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão com bom mercado de trabalho.,37,14,19,17,0,1,0,0,0,0
p16az8,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Cotista,Escola Pública,0.5989,M,29,Jubilado,6,Bairro na região central da cidade.,"Sim, desde o início, em período parcial.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.,40,3,0,16,0,0,0,0,0,0
7wfcow,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Cotista,Escola Pública,0.5536,M,28,Formado,6,Bairro na periferia da cidade.,Não sabe.,A pé.,"Fácil acesso. (proximidade da residência, condução, etc.).",O curso prepara para uma profissão de acordo com as minhas aptidões.,40,15,0,6,0,1,0,0,0,0
znj3z8,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Cotista,Escola Pública,0.638,M,33,Jubilado,6,Bairro na periferia da cidade.,"Sim, desde o início, em período integral.",De automóvel próprio.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.,39,2,1,4,0,0,0,0,0,0
gpjqff,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Cotista,Escola Pública,0.5423,M,30,Jubilado,6,Bairro na periferia da cidade.,"Sim, apenas nos últimos anos.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão com bom mercado de trabalho.,37,13,0,16,0,0,1,0,0,0
ogunjk,1,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Não cotista,Escola Particular,0.7539,M,40,Formado,6,Bairro na periferia da cidade.,"Sim, desde o início, em período integral.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão com bom mercado de trabalho.,41,2,31,2,0,1,1,0,0,0
imguff,2,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Cotista,Escola Pública,0.2609,M,30,Desistente,2,Bairro na região central da cidade.,"Sim, desde o início, em período integral.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.,3,4,0,2,0,0,0,0,0,0
t9f15c,2,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Não cotista,Escola Particular,0.39,M,29,Desistente,2,Favela.,Não sabe.,Outra forma.,"É pouco procurada, o que torna fácil a classificação.",Horário mais compatível com outras atividades.,3,1,0,4,0,0,0,0,0,0
otr15c,2,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Não cotista,Escola Particular,0.80299,F,32,Formado,6,Bairro na periferia da cidade.,"Sim, apenas nos últimos anos.",De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão de acordo com as minhas aptidões.,40,0,0,1,0,1,0,0,0,0
egqg9t,2,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Não cotista,Escola Particular,0.4921,M,33,Desistente,3,Bairro na região central da cidade.,"Sim, desde o início, em período parcial.",De ônibus.,"É pouco procurada, o que torna fácil a classificação.",O curso prepara para uma profissão que promete boa renda financeira.,6,6,3,4,1,0,0,0,0,0
5877z8,2,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Cotista,Escola Pública,0.81101,M,31,Formado,6,Bairro na periferia da cidade.,Não sabe.,De ônibus.,Satisfaz as condições socioeconômicas da família.,Horário mais compatível com outras atividades.,40,0,1,1,1,1,0,0,0,0
oy1ewn,2,Curso Superior De Tecnologia Em Análise E Desenvolvimento De Sistemas,Vestibular,Cotista,Escola Pública,0.79668,F,28,Formado,6,Bairro na região central da cidade.,Não.,De ônibus.,É a que oferece o melhor curso pretendido.,O curso prepara para uma profissão que promete boa renda financeira.,40,0,0,0,0,1,0,0,0,0
